Attribute,Attribute
Wildcard,Wildcard
"Spell Correction","Spell Correction"
"Match Mode","Match Mode"
Yes,Yes
No,No
button_label,button_label
"Successful! Test again?","Successful! Test again?"
"Connection failed! Test again?","Connection failed! Test again?"
"Please update Amasty Base module. Re-upload it and replace all the files.","Please update Amasty Base module. Re-upload it and replace all the files."
"Elasticsearch package is not installed. Please, run the following command in the SSH: composer require elasticsearch/elasticsearch ~5.1","Elasticsearch package is not installed. Please, run the following command in the SSH: composer require elasticsearch/elasticsearch ~5.1"
"Select Options","Select Options"
"Test connection can be applied only for Amasty Elastic Search engine.","Test connection can be applied only for Amasty Elastic Search engine."
"Manage Stop Words","Manage Stop Words"
"%1 stop word(s) was successfully removed","%1 stop word(s) was successfully removed"
"Please select Stop Word(s)","Please select Stop Word(s)"
"Something wend wrong during saving file","Something wend wrong during saving file"
"Something went wrong. Please try again","Something went wrong. Please try again"
"%1 Stop Word(s) has been imported","%1 Stop Word(s) has been imported"
"This Stop Word no longer exists.","This Stop Word no longer exists."
"Edit Stop Word ""%1""","Edit Stop Word ""%1"""
"New Stop Word","New Stop Word"
"Import Stop Words","Import Stop Words"
"You have saved the Stop Word.","You have saved the Stop Word."
"A Stop Word with the same term already exists in an associated store.","A Stop Word with the same term already exists in an associated store."
"Manage Synonyms","Manage Synonyms"
"%1 synonym(s) was successfully removed","%1 synonym(s) was successfully removed"
"Please select Synonym(s)","Please select Synonym(s)"
"%1 Synonym(s) has been imported","%1 Synonym(s) has been imported"
"This Synonym no longer exists.","This Synonym no longer exists."
"Edit Synonym ""%1""","Edit Synonym ""%1"""
"New Synonym","New Synonym"
"Import Synonyms","Import Synonyms"
"You have saved the Synonym.","You have saved the Synonym."
"A Synonym with the same term already exists in an associated store.","A Synonym with the same term already exists in an associated store."
"It is impossible to perform the search. Please make sure Elasticsearch Engine is installed on the server and configured properly.","It is impossible to perform the search. Please make sure Elasticsearch Engine is installed on the server and configured properly."
"Could not ping search engine: %1","Could not ping search engine: %1"
"Builder for %1 reference type doesn't exist","Builder for %1 reference type doesn't exist"
"Processor for %1 type doesn't exist","Processor for %1 type doesn't exist"
"'%1' filter type is not supported","'%1' filter type is not supported"
"Incorrect Bucket type: %1.","Incorrect Bucket type: %1."
OR,OR
AND,AND
*word*,*word*
word*,word*
*word,*word
"Unable to save stopWord with ID %1. Error: %2","Unable to save stopWord with ID %1. Error: %2"
"Unable to save new stopWord. Error: %1","Unable to save new stopWord. Error: %1"
"StopWord with specified ID ""%1"" not found.","StopWord with specified ID ""%1"" not found."
"Unable to remove stopWord with ID %1. Error: %2","Unable to remove stopWord with ID %1. Error: %2"
"Unable to remove stopWord. Error: %1","Unable to remove stopWord. Error: %1"
"Unable to save synonym with ID %1. Error: %2","Unable to save synonym with ID %1. Error: %2"
"Unable to save new synonym. Error: %1","Unable to save new synonym. Error: %1"
"Synonym with specified ID ""%1"" not found.","Synonym with specified ID ""%1"" not found."
"Unable to remove synonym with ID %1. Error: %2","Unable to remove synonym with ID %1. Error: %2"
"Unable to remove synonym. Error: %1","Unable to remove synonym. Error: %1"
"%1 StopWords were imported for store %2","%1 StopWords were imported for store %2"
"There are no file for import: %1","There are no file for import: %1"
Edit,Edit
Delete,Delete
"Are you sure you want to delete Stop Word?","Are you sure you want to delete Stop Word?"
"Are you sure you want to delete Synonym?","Are you sure you want to delete Synonym?"
"Elastic Search","Elastic Search"
Information,Information
Connection,Connection
"Search Engine","Search Engine"
"Elasticsearch Server Hostname","Elasticsearch Server Hostname"
"Elasticsearch Server Port","Elasticsearch Server Port"
"Elasticsearch Index Prefix","Elasticsearch Index Prefix"
"Enable Elasticsearch HTTP Auth","Enable Elasticsearch HTTP Auth"
"Elasticsearch HTTP Username","Elasticsearch HTTP Username"
"Elasticsearch HTTP Password","Elasticsearch HTTP Password"
"Elasticsearch Server Timeout","Elasticsearch Server Timeout"
"Test Connection","Test Connection"
Catalog,Catalog
"Wildcard Type","Wildcard Type"
"Specify the type of the autocomplete suggestion - the part of a word which will be auto-completed. Shoppers can input a half-finished word and get a relevant result.","Specify the type of the autocomplete suggestion - the part of a word which will be auto-completed. Shoppers can input a half-finished word and get a relevant result."
"Enable Wildcard After","Enable Wildcard After"
"Specify a number of symbols to apply autocomplete suggestion after.","Specify a number of symbols to apply autocomplete suggestion after."
"Enable Spell Correction After","Enable Spell Correction After"
"Specify a number of symbols to apply spell correction after.","Specify a number of symbols to apply spell correction after."
"Max Number of Search Results","Max Number of Search Results"
"Allow Special Characters","Allow Special Characters"
"Search Query Settings","Search Query Settings"
"Specify the search type preferences for each product attribute. Please consult the <a href=""https://amasty.com/docs/doku.php?id=magento_2:elastic_search#advanced_query_settings"">user guide</a>.","Specify the search type preferences for each product attribute. Please consult the <a href=""https://amasty.com/docs/doku.php?id=magento_2:elastic_search#advanced_query_settings"">user guide</a>."
"Stop Word Information","Stop Word Information"
Back,Back
Save,Save
Reset,Reset
"Stop Word","Stop Word"
"Store View","Store View"
"Import Information","Import Information"
Import,Import
"File Upload","File Upload"
"Please upload the CSV file","Please upload the CSV file"
"Add New Stop Word","Add New Stop Word"
"Delete terms","Delete terms"
"Are you sure you want to delete selected terms?","Are you sure you want to delete selected terms?"
Id,Id
"Synonym Information","Synonym Information"
"Synonym Enumeration","Synonym Enumeration"
"Please insert comma-separated values","Please insert comma-separated values"
"Add New Synonym","Add New Synonym"
