"Gift Wrap","Gift Wrap"
"Per Order","Per Order"
"Per Item","Per Item"
"1 Column (Sticky sidebar)","1 Column (Sticky sidebar)"
"2 Columns","2 Columns"
"2 Columns (Collage layout)","2 Columns (Collage layout)"
"3 Columns","3 Columns"
"Gift Wrap:","Gift Wrap:"
To:,To:
From:,From:
Message:,Message:
Update,Update
Cancel,Cancel
"Gift Message (optional)","Gift Message (optional)"
Edit,Edit
Delete,Delete
"Place Order","Place Order"
"View Details","View Details"
"Options Details","Options Details"
"Please specify a shipping method.","Please specify a shipping method."
"Please specify a payment method.","Please specify a payment method."
"Please upload a file.","Please upload a file."
"Do you want to remove the item from cart?","Do you want to remove the item from cart?"
General,General
Layout,Layout
"Google Api Key","Google Api Key"
"Show Order Comment","Show Order Comment"
"Show Newsletter","Show Newsletter"
"Newsletter checkbox checked by default","Newsletter checkbox checked by default"
"Gift Wrap Configuration","Gift Wrap Configuration"
"Enable gift wrap","Enable gift wrap"
"Gift wrap type","Gift wrap type"
"Gift wrap fee","Gift wrap fee"
"Gift Message Configuration","Gift Message Configuration"
"Enable gift message","Enable gift message"
"Gift wrap","Gift wrap"
